id;adi;yeri;hatlar;point;px;py;weight;is_active;sp_distance;sp_duration;sp_weight
3155;30560;Bahçelerüstü Mh.Şht.İdris Yılmaz Cd.Mamak;326,347-6;;39.9389;32.8979;0;f;24015.3;2094;4213.7
3156;30861;Başak Mh.Özalp Cd.Mamak;316,320;;39.9646;32.9513;0;f;27528.1;2437.5;4932.6
3157;30054;Ön Cebeci Mh.Ziya Gökalp Cd.Çankaya;160,220-3,221-3,297-3,330,330-2,333,340,340-2,341,380,383,385-2;;39.9248;32.8634;0;f;16579.7;1694.2;3516
3158;30142;Abidinpaşa Mh.329.Sk.Mamak;380,383,385;;39.9238;32.8879;0;f;19092.9;2058.7;4276
3159;50558;Yavuz Selim Mh.Karlıdağ Cd.Etimesgut;580-1,585,585-1;;40.0011;32.6071;0;f;36105.7;2449.4;4939.5
3160;53076;Oğuzlar Mh.Mh.1579.Sk.Etimesgut;503,503-1,577,577-1;;39.9409;32.6012;0;f;29236.2;2167.3;4418.1
3161;31262;Yıldırımbeyazıt Mh.Atatürk Cd.Mamak;352,369;;39.9012;33.0231;0;f;41189.2;3452.6;6972.4
3162;30767;Köstence Mh.Kayaş Cd.Mamak;220-3;;39.9203;32.9362;0;f;28818.5;2255.3;4524.4
3163;30878;Battalgazi Mh.Bostancık Cd.Altındağ;313,320,321,321-6,322,322-4,325,329,335,337,345,348;;39.9616;32.9311;0;f;25227;2098.9;4226.2
3164;32011;Hacılar Mh.Mh.882.Cd.Altındağ;312;;39.9616;32.9098;0;f;23089.2;1950.3;3962.2
3165;11077;Mürsel Uluç Mh.931.Cd.Çankaya;183-2,183-6,186-2,187-2;;39.8601;32.8306;2;t;20838.8;1819.4;3716.2
3166;31510;Hasanoğlan Bahçelievler Mh.Menderes Blv.Elmadağ;390-3,394;;39.9674;33.1605;0;f;49031.6;3535.3;7084
3167;31233;Kıbrıs Mh.Yunus Emre Cd.Mamak;355,355-4,357,361,389;;39.8936;32.9804;5;t;34989.6;2913.5;5893.8
3168;21462;Ostim Osb Uzay Çağı Cd.Yenimahalle;225-2;;39.9729;32.7517;0;f;16647.4;2015.1;4079.7
3169;10331;Koru Mh.Banga Bandhu Şeyh Mucibur Rahman Blv.Yenimahalle;584,586,590,592,596,598,598-1;;39.8853;32.6891;0;f;7316.9;946.3;1956.1
3170;31399;Kızılca Mh.Kızılcaköy Cd.Mamak;359,368;;39.9427;32.9992;0;f;36121.6;2861.7;5771.2
3171;31240;Kıbrıs Mh.Veysel Karani Cd.Mamak;355-6,357,361,389;;39.8811;32.9963;0;f;36548;3093.8;6224
3172;12295;Çankaya Mh.Simon Bolivar Blv.Çankaya;135-1,185-1,185-3,185-6,190,407-2;;39.8782;32.8636;0;f;19195;1957.1;3952.1
3173;40061;Güçlükaya Mh.Fatih Cd.Keçiören;421-3,461-2,479,481-2,481-6;;39.9831;32.8642;0;f;21379.6;1944.8;3924.9
3174;40670;Saray Gümüşoluk Mh.Kurusarı Yolu Pursaklar;472-2,474-2,486-2,486-6;;40.1016;32.9276;0;f;37483.2;3173.1;6406.1
3175;41159;Sirkeli Yeşilyurt Mh.Mh.Kıbrıs Cd.Pursaklar;473;;40.1432;32.8459;0;f;47332.6;4479.9;9006.1
3176;11470;Emniyet Mh.Mevlana Blv.Yenimahalle;282,505,508-3,510,510-2,510-3,510-6,515,520,520-3,540,540-2,540-6,565,565-6;;39.9424;32.8282;0;f;16133.6;1374.9;2756.6
3177;41335;Baraj Mh.Mh. Altındağ;447-2;;40.0115;32.9088;0;f;26580.2;2307.4;4653.7
3178;41119;Zübeyde Hanım Mh.Mh.Dostlar Sk.Altındağ;409,431;;39.9523;32.8506;1;t;17886.9;1602.7;3240.5
3179;41489;Yıldıztepe Mh.Mh.792.Sk.Altındağ;403-6,408;;39.9698;32.8995;3;t;23072.5;1976;3981.6
3180;31384;Yeni Bayındır Mh.19 Mayıs Blv.Mamak;352,354,354-3,369,394,394-3,397,398-3;;39.9149;32.9816;0;f;39668.7;2910.1;5885.9
3181;40634;Karacaören Mh.1573.Sk.Altındağ;441-1;;40.0307;32.9181;0;f;30191;2505.4;5092.1
3182;40983;Beyazıt Mh.Nurettin Cankurtaran Cd.Akyurt;468-1,488-1,488-3;;40.1287;33.0785;0;f;50567;3737.7;7547.6
3183;50280;Mevlana Mh.Ahmet Kabaklı Cd.Sincan;503-1,507-2,515,517,518-2,525-2,525-6,529,531-2,560,577-1;;39.9913;32.5674;0;f;26395;2392.7;4840.4
3184;30871;Feridun Çelik Mh.Orhan Kemal Cd.Altındağ;314,392,392-6,393,395;;39.9696;32.9286;0;f;25075.2;2213.9;4481.9
3185;10827;Çukurambar Mh.1431.Cd.Çankaya;134;;39.8985;32.8052;0;f;11756.3;1273.8;2612.8
3186;11653;Doğanbey Mh.Sıhhıye Otobüs Durağı Altındağ;303,304,304-6,391,452-1;;39.9296;32.8543;0;f;15803.5;1620.4;3247.7
3187;11214;Oran Mh.Hayri Çeçen Sk.Çankaya;145-1,155-1,155-6;;39.8471;32.817;0;f;19447.3;1646.7;3377.6
3188;50330;Ahi Evran Mh.Gazi Mustafa Kemal Blv.Sincan;503,503-1,507,507-2,509,514,514-2,514-3,516,525,525-2,525-6,529,531-2,544,560,577,577-1;;39.9691;32.58;0;f;24072.4;2288.6;4659.1
3189;12287;Hilal Mh.Turan Güneş Blv.Çankaya;135-2,185-2,185-3,185-6;;39.8677;32.8587;0;f;19500.5;1954.3;4012.2
3190;50574;Atakent Mh.Atatürk Cd.Etimesgut;505,505-2,507,507-2,510,510-2,510-3,510-6,511,511-3,513-1,522,523,523-6,524,551;;39.9573;32.6145;0;t;28544.3;1871.8;3751.2
3191;50781;Göksu Mh.Selçuklular Cd.Etimesgut;501-2,502-2,531,540,540-6,541,541-1,541-3,543-1,555-4,556-4,580,580-1,585-1;;39.9844;32.6478;0;f;19249;1894.5;3862.7
3192;50382;İstasyon Mh.Gazi Mustafa Kemal Blv.Sincan;503,503-1,507,507-2,509,514,514-2,514-3,516,525,525-2,525-6,529,531,544,560,577,577-1;;39.9743;32.58;0;f;23092.3;2141.8;4294.4
3193;B14;Gazi Mh.Celal Bayar Blv.Yenimahalle;BANLİYO-Kayaş-Sincan,BANLİYO-Sincan-Kayaş;;39.9449;32.826;0;f;16460.8;1565.8;3141.7
3194;50941;İncirlik Mh.Anadolu Otoyolu Sincan;501,501-2;;40.0863;32.5875;0;f;45166.3;2617.1;5258.5
3195;51199;Erler Mh.Etimesgut Yolu Etimesgut;507,507-2,511,511-3,512-3,512-4,517,521,521-3,522,524,530,530-2,530-3,532,532-3,538,541,541-1,541-2,541-3,545,567,573;;39.9278;32.7036;0;f;8720.8;1021.8;2048.8
3196;51436;Yukarıyurtçu Mh.Mh. Yenimahalle;588,588-1,594,595;;39.8163;32.5612;0;f;24372.6;2056.6;4185.4
3197;11055;Ata Mh.Dikmen Cd.Çankaya;145-2,145-3,154-2,155-2,155-6;;39.8713;32.8296;0;f;17476.3;1689.4;3427.9
3198;31139;Tepecik Mh.Kayaş Cd.Mamak;220-3;;39.9155;32.9564;0;f;30250;2332.6;4676.5
3199;31451;Ortaköy Mh.19 Mayıs Blv.Mamak;354,354-3,394,394-3,397,398-3;;39.9542;33.0713;0;f;49124.4;3525.5;7098.8
3200;11976;Yağlıpınar Mh.Ankara Konya Yolu Gölbaşı;147,149,180;;39.6488;32.8187;0;f;42163.3;3051.1;6132.8
3201;10588;Beytepe Mh.Şht.Jnd.Astğmn.Mustafa Tayyarcan Cd.Çankaya;110,175;;39.8563;32.7404;4;t;2241.6;383.4;827.6
3202;12766;Eymir Mh.Mh.Beyşehir Gölü Cd.Gölbaşı;107-6,195-1,195-2;;39.7932;32.8228;0;f;26412.5;2163;4359.4
3203;30766;Ptt Evleri Mh.Turgut Özal Blv.Mamak;337,344-1,347-6,354,354-3,368,369,389,394,394-3,397;;39.9422;32.925;0;f;24354.1;1894.8;3799.4
